Day,Hour,Marginal Price (Pkr/Kwh)
28,19,22.962278
28,20,22.962278
28,21,22.962278
28,22,22.962278
28,23,22.8735
29,0,23.978331
29,1,23.975783
29,2,24.07549
29,3,24.07549
29,4,24.07549
29,5,24.07549
29,6,6.211
29,7,6.1786
29,8,5.5388
29,9,5.5388
29,10,5.5388
29,11,6.1786
29,12,5.5388
29,13,5.5388
29,14,5.5388
29,15,6.1786
29,16,5.5388
29,17,5.5388
29,18,5.5388
29,19,5.5388
29,20,6.2111
29,21,6.2111
29,22,5.5388
29,23,24.07549
30,0,5.5388
30,1,5.5388
30,2,5.5388
30,3,5.5388
30,4,5.5388
30,5,5.5388
30,6,5.5388
30,7,6.1786
30,8,6.1786
30,9,6.1786
30,10,6.1786
30,11,21.944782
30,12,21.306189
30,13,21.884603
30,14,22.247229
30,15,22.567922
30,16,22.567922
30,17,22.15364
30,18,22.460162
30,19,21.858703
30,20,24.07549
30,21,24.07549
30,22,24.07549
30,23,24.07549
31,0,23.383379
31,1,21.373774
31,2,21.357017
31,3,5.5388
31,4,5.5388
31,5,5.5388
31,6,6.1786
31,7,6.1786
31,8,6.1786
31,9,22.318476
31,10,22.567922
31,11,12.166463
31,12,22.375262
31,13,21.851938
31,14,21.968138
31,15,21.246237
31,16,23.449008
31,17,23.444086
31,18,23.418486
31,19,23.389942
31,20,23.404708
31,21,23.399786
31,22,23.371557
31,23,23.381424
1,0,23.338267
1,1,23.15852
1,2,23.15852
1,3,14.432728
1,4,11.011321
1,5,5.5418
1,6,5.292
1,7,3.0658
1,8,3.0658
1,9,3.0658
1,10,21.730407
1,11,21.730407
1,12,3.0658
1,13,3.0658
1,14,21.730407
1,15,21.091713
1,16,24.192067
1,17,23.338267
1,18,23.338267
1,19,23.338267
1,20,34.903183
1,21,28.555764
1,22,28.559317
1,23,29.463763
2,0,28.548301
2,1,23.15852
2,2,23.15852
2,3,23.15852
2,4,14.900184
2,5,12.200798
2,6,12.29412
2,7,12.236669
2,8,3.0658
2,9,3.0658
2,10,3.0658
2,11,3.0658
2,12,3.0658
2,13,3.0658
2,14,5.292
2,15,6.1786
2,16,12.16961
2,17,12.288926
2,18,28.5308
2,19,5.5418
2,20,14.610563
2,21,14.813332
2,22,14.812861
2,23,23.7821
3,0,5.5418
3,1,5.5418
3,2,6.1786
3,3,5.5418
3,4,5.292
3,5,5.292
3,6,5.292
3,7,5.292
3,8,5.292
3,9,5.5418
3,10,5.5418
